face_width,face_height,ratio,jaw_width,forehead_height,eye_distance,ratio_jaw,ratio_eye,ratio_forehead,symmetry,nose_width,lip_height,brightness,texture,hue,saturation,value,label
472.06921985547024,493.6827817257456,0.6290578121726407,366.0649267408884,140.57202863696455,305.4539121178633,0.7754475643486428,0.647053227091107,0.2847416070408066,0.6108843088150024,39.58071094232992,15.63406487528151,0.8571142480971172,0.247153197755385,20.28816,0.28586750705996,230.203812,Kapha
434.9401419889311,495.0383868271203,0.5001320490438503,350.8801068914844,144.12372123520345,291.7856054547335,0.8067319454280538,0.6708638207557288,0.2911364554149919,0.583532065153122,49.57836103599508,21.071005658712213,0.5680780307766597,0.2306296994210867,17.125776,0.425694959220299,166.881672,Pitta
390.8014577465683,460.5999444443012,0.4500754625037867,310.4316984345243,129.15979694274588,270.85163287686987,0.7943463164762217,0.693067099694687,0.2804164405590039,0.541698694229126,50.51849072248446,37.41745321373087,0.2964071716903597,0.3572336653650006,0.0,0.0,84.827128,Vata
435.45085502025216,463.0906794307375,0.6026396500948972,353.92926715846835,135.2813551786072,284.8535116089115,0.8127880863662735,0.6541576582635563,0.2921271387817699,0.5695223808288574,58.00044058846881,18.98351339695515,0.4266729030564196,0.4662464657626491,21.724536,0.438763498531423,123.1879,Kapha
376.161169718716,381.3027586828143,0.6793784498214595,291.41110398408614,118.8969544596258,261.87363914116395,0.7746974633293388,0.6961740344889574,0.3118177137515281,0.5227912813425064,38.110465403936885,6.841905221387093,0.5083263388325348,0.3015679037114565,27.124032,0.4980516657670234,165.125268,Kapha
489.6065691791034,515.2340752896132,0.6191596501300834,395.06241553362776,141.69518305850377,306.05303931783146,0.8068977019569148,0.6250999446984011,0.2750112809966167,0.6120477616786957,38.16573226601146,15.745212167723825,0.7930417245216295,0.3116703153024799,11.958124,0.4743345926088084,229.919764,Kapha
388.77146633248486,478.7675669627087,0.3895559581351662,303.24559509541,159.1959116983824,264.01991140014167,0.7800099064782406,0.6791133976235456,0.3325118965520531,0.5277571380138397,45.2936768184228,1.9040024966743407,0.6001641476965665,0.188191980074258,32.231972,0.3669803061181908,167.6103,Vata
408.5028967281012,430.4797097663035,0.6169798415862132,308.7638117459816,159.24786003558282,277.98365845346905,0.755842404592529,0.6804937264337063,0.3699311638219474,0.5559657216072083,41.482904369622894,1.0787751467605993,0.4052097318823299,0.6789712180936377,20.809268,0.5030513538066659,129.310604,Kapha
420.9584334382017,496.88174094371885,0.4479803991947492,335.3107785901263,158.0182902932947,290.75466067762807,0.7965413018369928,0.69069684221046,0.3180199175626243,0.5815019309520721,49.59405291112687,6.420071734523338,0.3472840681819952,0.448247338674788,13.94076,0.5894075683743503,127.460268,Pitta
420.32515602058027,518.6484922554805,0.3868958478519368,326.09736372751166,160.6606274781466,284.658215695808,0.7758216681933381,0.6772333552214761,0.3097678483156699,0.5693148374557495,43.53882555745975,31.75130694558657,0.6434120551455352,0.3767924020207655,23.5026,0.3644633363525514,174.365028,Vata
445.8421006985787,456.0731268110764,0.664515132358877,332.582929797373,150.11610350507544,307.1543006766802,0.7459657337794193,0.688930677913566,0.3291491970919381,0.6142066419124603,38.83787277871066,13.414336047667128,0.518208771822381,0.1951106854700933,12.409192,0.4678552873971932,163.586652,Kapha
462.0521725270747,481.5375968931552,0.6345643342126399,355.41874796918904,144.4627977736439,318.6286102334801,0.7692177834059697,0.6895944423133507,0.3000031538673348,0.6369765996932983,38.01676136784975,18.764854795580074,0.3742183810905835,0.330074692902,22.350876,0.6702000678750111,137.81924,Kapha
439.6114081863234,517.589076494157,0.4515415112797361,356.3769960123848,151.71381910588877,293.8385903852972,0.8106636665382877,0.6684052891110542,0.2931163465301637,0.5874250829219818,49.02497316039035,12.556114471682951,0.644196834523181,0.4014183086641416,18.882588,0.4146708575141999,186.992308,Pitta
494.4739259935308,521.5389013846258,0.615580413971605,386.8638113957801,161.73092680867464,309.63249722837475,0.7823745420316488,0.6261856914017053,0.3101032854486935,0.6191624402999878,41.08829127875226,23.68892764889861,0.8429151773670823,0.1956465437450243,14.967028,0.3621851310510349,232.239564,Kapha
365.849163642969,495.7812597570072,0.2664767704729152,294.3108061634028,142.89396360856662,246.08411920059945,0.8044594204693049,0.6726381898763943,0.2882197759524068,0.490900456905365,36.93860435364033,4.36189066420319,0.5548868584480259,0.3538093780275985,13.971876,0.4377569874731036,164.772432,Vata
486.79044559739634,501.74380367712047,0.6522739529283277,384.3335447285014,144.72130482899476,314.3520202041421,0.7895256536040712,0.645764564705794,0.2884366558557942,0.6287027597427368,49.97207557253064,41.67382392087871,0.6368520869565009,0.1521719396129265,51.891812,0.245207002578197,176.648148,Kapha
412.1921146785759,487.7193354694411,0.4445614541764156,331.8807773109716,149.5473723443371,275.101906430645,0.8051604227552233,0.6674118612025542,0.3066258839223471,0.5501951575279236,53.98370729724387,10.109857496514216,0.642450028683005,0.2170102949016656,12.549772,0.5944390264027851,205.849428,Kapha
445.24408757876,544.8448443348641,0.3981411444771541,351.9899546457974,157.62538561577165,305.97679695633803,0.790555033666861,0.687211364490524,0.2893032525767912,0.6113140881061554,58.23576423985049,57.41206561346213,0.649414275941344,0.2841557980964376,12.882296,0.5799614155005404,206.217292,Kapha
396.0565425634799,507.29140530340425,0.3375716727214926,325.64811342788806,155.77854084862253,270.109432123182,0.8222263198080947,0.681997147111612,0.3070790067011946,0.5401751399040222,48.135262938484125,8.248540015253074,0.568498985078336,0.2338311113725052,38.75734,0.5911130867099891,191.845496,Vata
414.8478995954064,489.339439538544,0.4489284529815914,331.5900498290155,150.13422200271418,269.51261333900936,0.7993051191832218,0.6496660911188417,0.3068099766172403,0.5388436317443848,37.692317092431104,3.5266790736872777,0.4313435333047534,0.4328142955098541,41.490188,0.3762178101814407,136.963832,Pitta
