face_width,face_height,ratio,jaw_width,forehead_height,eye_distance,ratio_jaw,ratio_eye,ratio_forehead,symmetry,nose_width,lip_height,brightness,texture,hue,saturation,value
394.4708267632852,472.10159840609697,0.8355634212955267,323.68075575239766,129.78316219645936,275.95713870712893,0.8205442171941213,0.6995628573383091,0.274905153116684,0.5515592396259308,58.24629042635307,18.125386930250954,128.788308,43.44888986495669,33.372536,50.604848,141.83702
421.3714310503741,499.0403271035491,0.8443634876083692,347.4205136442054,140.21564396490865,281.3556095456923,0.8244994511805713,0.6677140138436599,0.28097056760668243,0.562653660774231,59.13335918704112,28.29123113154067,145.232504,55.85642099069707,28.91438,46.228936,158.434508
399.4959293682846,461.1529878958615,0.8662980395965678,336.80442997154495,130.7072778001813,275.77354877645456,0.8430734964036491,0.6903037765929934,0.283435825487263,0.5511186420917511,53.982067767461174,3.252788547919436,154.756284,68.89058007094543,23.1737,84.9745,180.998896
383.8964260843695,480.60875269570766,0.7987711916004773,322.16473522056265,122.52744884945857,258.4383373287917,0.8391970159934753,0.6731980809636251,0.2549421918810445,0.5091531276702881,47.335120136614286,16.65475386379204,135.978852,48.5352148111255,37.527628,46.494424,149.232284
388.3770590080553,507.7579881277727,0.7648861624808623,321.291761279014,139.19958491512403,271.1418728227703,0.8272676097285914,0.6981408055235996,0.27414553423056287,0.5398356020450592,47.449758073108576,0.654878560152835,139.343352,46.332881427816424,36.69166,58.205916,159.195168
421.3736580473968,476.96306501186376,0.8834513381804853,348.7721001721043,128.29410490226485,289.77754256489476,0.8277026660571977,0.6876973371038303,0.26898121534646235,0.5794908106327057,54.96782027943871,2.761047191956565,113.248272,56.08429734795664,16.097668,87.965976,136.579644
378.08415512028915,476.57404448441497,0.7933376974596302,313.4336844761684,123.66029498957171,252.51651394204393,0.8290050779209409,0.6678844128278919,0.2594776119697297,0.5007098317146301,45.80232633807839,18.98869874340694,133.616264,48.51894379190776,37.271296,46.78564,146.594416
385.8722873705385,476.85044129877053,0.8092102972990022,311.3782338686591,137.3937453878446,277.37448418028106,0.8069463500229401,0.7188245781276562,0.28812754165359067,0.5547135174274445,51.53237759472655,5.067285375935358,134.800444,50.726301554547256,22.261884,63.07902,150.209052
431.05909512844875,497.02363922705985,0.867280871788724,363.4126315043501,135.0743744290102,266.3365793465015,0.8430691652522931,0.6178655835277932,0.2717664991529768,0.5326333045959473,50.0407582676636,1.8687230478640573,87.680388,39.583373026682,11.155056,140.482256,121.072732
392.21770634831546,464.09048027213845,0.8451319796913794,318.22118289971445,131.15397083312905,272.0855141804384,0.8113381363183865,0.6937104311624532,0.2826043118924171,0.544067770242691,47.52554127855642,0.14129320410550106,135.76798,55.030786535534816,16.71926,47.740352,146.791072
369.47871013157027,434.1671269608191,0.8510057238048644,307.80598844545773,123.92031607350582,265.24217330770256,0.8330817987749523,0.7178821567641898,0.2854207708928844,0.5236378014087677,51.46993434643642,2.35351647109892,97.580392,61.46408350513604,11.1332,150.300004,131.603912
419.890312496571,483.75075956123294,0.8679889471954855,351.0741453652151,137.0361101698298,267.0901503065113,0.8361091811759341,0.6360950523446346,0.28327833592266194,0.5341801345348358,55.01077707527278,1.3850874488886291,109.93208,41.78868156419391,11.345524,115.888792,143.828608
416.23706613332706,474.8440728666978,0.8765763119258237,342.41467788252726,131.90475455808598,282.94938225678203,0.8226434062286193,0.6797793980369568,0.2777854080851408,0.5658115446567535,58.47593732749998,22.075651672529343,164.37796,44.248606240630906,31.611,88.337504,201.549028
388.0702878489543,472.530963334236,0.8212589607053115,309.7964151463167,132.06091062511302,269.14547678081965,0.7982997535407721,0.6935482700123055,0.27947567645784555,0.5382850170135498,51.80022167963105,2.9613766929875456,129.571716,63.988466779688856,33.143004,101.55084,157.138364
365.3724624622408,459.96807098500364,0.7943430979454942,306.2846696686838,129.49846198992617,248.4272831341767,0.838280661888515,0.6799288634398666,0.28153793743250544,0.496791273355484,47.20051637228879,2.1856272044854728,105.784168,31.609937560010714,37.943628,87.465272,131.164296
443.507647580468,504.58465005080575,0.8789558848764266,361.625760103539,129.42510964338237,307.81495032311364,0.8153766052882487,0.6940465446365613,0.2564983093131168,0.6146926581859589,59.52388052634422,34.07301533706969,147.412852,40.01423933084441,18.24666,83.166736,170.38824
410.79045908513604,476.0743916364228,0.8628703125011942,333.22333044446094,128.38887961424388,294.6949531243494,0.8111759245494079,0.7173850964812064,0.2696823897057968,0.5893141627311707,54.60244719023695,18.308763603577347,155.597188,32.837502866275564,21.031012,60.517808,175.154612
367.7638604422848,433.4153821191012,0.8485251691902906,295.3851872139094,129.2508632486167,254.21405085063714,0.8031925346298833,0.6912426102578731,0.29821475789961455,0.5084259212017059,44.42601026594787,2.3574498037044296,127.184012,57.526868223325486,54.762688,101.774876,156.899024
383.03463431671423,453.3469795527063,0.8449039071455476,322.4201844438613,114.9538431688096,268.1254534240519,0.8417520390003856,0.700003157422968,0.25356702118591046,0.5344610661268234,53.73223902455882,2.9856620009410033,104.20912,47.60665924873956,16.608108,156.529408,135.431416
426.828755036081,480.03185632298016,0.8891675613063845,333.3608932499387,143.819896062258,290.2913995699112,0.7810178890636335,0.6801120968182476,0.2996048994829451,0.5805814266204834,42.8742251284691,3.221676508428014,132.346228,59.5430945296935,15.661212,122.691992,169.631928
434.65097530993086,503.5747680802183,0.8631309645774229,344.8627044192219,156.73849676591288,273.51481439303313,0.793424434796943,0.6292745902571633,0.3112516883311056,0.547013908624649,47.509158106930734,30.417050063787052,168.240168,45.31167786930623,117.202036,78.569212,205.438896
401.2584877317173,495.7302788519326,0.8094290481126075,322.2167705901275,155.39486650624426,262.70753043320894,0.8030154637016991,0.6547089680726107,0.31346656263588535,0.5254121124744415,42.110338105941615,13.513384358150123,138.975708,61.68159263425951,42.735704,84.940488,170.811292
